Three Digit Code	Four Digit Code	Char Code	HPI Code	Name
011	1011	NLD	G00026-A	Northland
021	1021	NWA	G00013-C	Waitemata
022	1022	CAK	G00011-K	Auckland
023	1023	SAK	G00012-A	Counties Manukau
031	2031	WKO	G00027-C	Waikato
042	2042	LKS	G00028-E	Lakes
047	2047	BOP	G00031-E	Bay of Plenty
051	2051	TRW	G00029-G	Tairawhiti
071	2071	TKI	G00030-C	Taranaki
061	3061	HWB	G00032-G	Hawke's Bay
081	3081	MWU	G00033-J	Midcentral
082	3082	WNI	G00035-B	Whanganui
091	3091	CAP	G00036-D	Capital and Coast
092	3092	HUT	G00006-F	Hutt
093	3093	WRP	G00037-F	Wairarapa
101	3101	NLM	G00038-H	Nelson Marlborough
111	4111	WCO	G00039-K	West Coast
121	4121	CTY	G00005-D	Canterbury
123	4123	SCY	G00025-K	South Canterbury
160	4160	SRN	G02328-E	Southern
